,cpd_mnth_id,cpd_dt,cluster_name_adjusted,mrch_catg_cd,mrch_catg_rlup_nm,merchant,cp_flag,domestic_flag,intraregion_flag,interregion_flag,city_name,country_code,spend
0,202306,2023-06-08,Family,7523,"PARKING LOTS,METERS,GARAGES",APCOA,0,1,0,0,Not_Available,826,6.25
1,202306,2023-06-13,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.39
2,202307,2023-07-09,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.41
3,202306,2023-06-13,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.39
4,202307,2023-07-09,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.41
5,202307,2023-07-15,Frugal Family,5311,DEPARTMENT STORES,TAKEAWAY.JE,0,1,0,0,Not_Available,826,38.79
6,202306,2023-06-25,Frugal Family,9399,GOV'T SERV - DEFAULT,MANCHESTER.GOV.UK,0,1,0,0,Not_Available,826,38.27
7,202307,2023-07-26,Affluent Segment,5641,CHILDREN/INFANTS WEAR STORES,MAPAC GROUP,0,1,0,0,Not_Available,826,48.66
8,202306,2023-06-08,Affluent Segment,5691,MENS/WOMENS CLOTHING STORES,ASOS.COM,0,1,0,0,Not_Available,826,212.55
9,202306,2023-06-22,Affluent Segment,9311,TAX PAYMENTS,DRIVER & VEHICLE LICENSING AGENCY,0,1,0,0,Not_Available,826,192.08
10,202305,2023-05-17,Urban Spenders,7922,THEATRICAL PRODUCERS,JAGUARS TICKETS,0,1,0,0,Not_Available,826,268.15
11,202307,2023-07-26,Affluent Segment,4112,PASSENGER RAILWAYS,TFL-TICKET PURCHASE,0,1,0,0,Not_Available,826,12.91
12,202306,2023-06-18,Sensible Spenders,5814,FAST FOOD RESTAURANTS,PIZZA HUT,0,1,0,0,Not_Available,826,44.96
13,202305,2023-05-05,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,43.68
14,202305,2023-05-14,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,51.78
15,202305,2023-05-21,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,61.01
16,202305,2023-05-28,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,70.74
17,202306,2023-06-03,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,40.42
18,202306,2023-06-11,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,53.56
